color,dealer_rating,miles,miles_away,pricing,trim,year
Gray,,33299,108.6,20333,Grand Touring,2016
White,,33662,109.5,18986,Touring,2016
Silver,,27543,109.5,21867,Grand Touring,2016
Blue,,13721,109.5,28317,Grand Touring,2019
Red,,31198,109.5,16990,Touring,2016
Red,,14295,192.1,23132,Touring,2017
Black,,32005,193.8,18246,Sport,2016
Gray,,29516,113.7,18599,Sport,2016
Silver,,32769,113.7,18998,Touring,2016
White,,35642,121.4,19800,Grand Touring,2016
Blue,,13210,124.1,27999,Grand Touring,2019
Black,,4445,124.1,28000,Touring,2019
Black,,40741,137.5,17275,Touring,2016
Blue,,39705,137.5,17485,Grand Touring,2015
White,,3524,137.5,23585,Sport,2019
White,,4095,137.5,23984,Sport,2019
White,,5799,137.5,25775,Touring,2019
Blue,,24649,142.3,23488,Touring,2017
Silver,,23103,146.0,17998,Sport,2016
Gray,,110071,33.0,11445,Grand Touring,2014
Silver,,25062,151.8,15994,Sport,2016
Silver,,59478,33.2,15988,Touring,2016
Silver,,28462,158.3,17999,Touring,2016
Black,,28175,158.3,17999,Touring,2016
Blue,,16962,158.3,19499,Touring,2016
Silver,,12482,158.3,19999,Touring,2016
Red,,26016,160.3,17495,Sport,2016
Gray,,33898,174.0,18382,Touring,2016
Gray,,44842,179.5,19600,Grand Touring,2016
White,,42014,179.5,19800,Grand Touring,2016
Black,,13298,181.1,19995,Sport,2017
Black,,16890,181.1,20595,Sport,2017
Gray,,16038,181.1,24695,Grand Touring,2017
White,,35206,183.7,17995,Grand Touring,2016
Gray,,56740,185.3,14995,Grand Touring,2013
White,,29694,193.0,19970,Grand Touring,2016
Red,,28827,194.2,17500,Sport,2016
Black,,7550,194.2,17900,Sport,2016
Black,,22232,194.2,18500,Touring,2016
Blue,,18774,194.2,24750,Grand Touring,2017
Red,,51920,85.8,19490,Grand Touring,2016
Red,,53996,94.1,19700,Grand Touring,2016
Blue,,36075,,22290,Touring,2017
Gray,,39673,,23430,Grand Touring,2017
Gray,,43422,132.9,16747,Sport,2016
Silver,,35162,139.3,21163,Grand Touring,2016
Blue,,145777,63.1,8522,Grand Touring,2013
Black,,42069,98.3,23517,Grand Touring,2018
Silver,,34621,153.7,20900,Grand Touring,2016
Silver,,45626,24.5,16997,Touring,2016
Silver,,18519,24.5,23788,Grand Touring,2016
Blue,,47757,24.9,19595,Grand Touring,2016
Blue,,30340,198.1,17999,Touring,2016
Blue,,54714,134.8,18588,Grand Touring,2015
Blue,,36574,139.3,17599,Sport,2016
